id,species,common_name
KX964606.1,Erinaceus amurensis,Amur hedgehog
NC_012095.1,Sus scrofa domesticus,pig
AC_000022.2,Rattus norvegicus strain Wistar,brown rat
NC_001913.1,Oryctolagus cuniculus,rabbit
NC_002008.4,Canis lupus familiaris,dog
NC_002080.2,Erinaceus europaeus,European hedgehog
NC_005033.1,Hemiechinus auritus,long-eared hedgehog
NC_006853.1,Bos taurus,cow
NC_012920.1,Homo sapiens,human
NC_013700.1,Nyctereutes procyonoides,raccoon dog
NC_018367.1,Marmota himalayana,Himalayan marmot
NC_020637.1,Mustela sibirica,Siberian weasel
NC_020645.1,Arctonyx collaris,hog badger
NC_021478.1,Rhizomys pruinosus,hoary bamboo rat
NC_023459.1,Vulpes zerda,fennec fox
NC_026063.1,Ovis orientalis,sheep
NC_026723.1,Urocyon cinereoargenteus,gray fox
NC_028161.1,Capra aegagrus,goat
NC_028308.1,Felis margarita,sand cat
NC_029403.1,Paguma larvata,masked palm civet
NC_029888.1,Rattus tiomanicus,Mayalan field rat
NC_036369.1,Otocyon megalotis,bat-eared fox
NC_036430.1,Muntiacus putaoensis,leaf deer
NC_050263.1,Hystrix brachyura,Malayan porcupine
NC_003408.1,Coturnix japonica,quail
NC_011710.1,Larimichthys crocea,yellow croaker (fish)
NC_026459.1,Streptopelia chinensis,spotted dove
NC_003192.1,Monopterus albus,swamp eel
NC_040902.1,Gallus gallus spadiceus,chicken
NC_030041.1,Ptyas mucosa,Oriental rat snake
NC_010288.1,Ctenopharyngodon idella,carp
NC_020011.1,Channa maculata,snakehead fish
NC_022418.1,Anas poecilorhyncha,spot-billed duck
NC_003489.1,Ictalurus punctatus,catfish
NC_004926.1,Andrias davidianus,Chinese salamander
NC_023982.1,Amaurornis akool,brown bush hen
NC_011389.1,Naja atra,Chinese cobra
NC_014686.1,Micropterus salmoides salmoides,Largemouth bass
NC_031867.1,Columba rupestris,pigeon
NC_021950.1,Hapalemur griseus,
NC_046471.1,Hemitripterus villosus,
NC_029247.1,Parupeneus chrysopleuron,
NC_007783.2,Coreoleuciscus splendidus,
NC_021765.1,Epinephelus sexfasciatus,
NC_027495.1,Botia lohachata,
NC_007393.1,Rousettus aegyptiacus,
NC_068211.1,Microtus montanus,
NC_009587.1,Sardinella maderensis,
NC_018567.1,Repomucenus curvicornis,
NC_027418.1,Eothenomys melanogaster,
NC_031538.1,Rhodeus amarus,
NC_046023.1,Barilius malabaricus isolate BM03,
NC_051464.1,Pomatostomus ruficeps,
NC_062733.1,Lichenostomus cassidix isolate B80296,
NC_022186.1,Pseudogobius javanicus,
NC_026714.1,Triplophysa strauchii,
NC_039096.1,Tringa glareola,
NC_066919.1,Cottus bendirei,
NC_018560.1,Astatotilapia calliptera,
NC_023961.1,Cercopithecus mitis,
NC_021940.1,Avahi laniger,
NC_030628.1,Leiocassis longirostris x Tachysurus fulvidraco,
