sample,Sample name,Collection date,description,Isolation source,total_reads,preprocessed_reads,SARS2_aligned_reads,percent_preprocessed_reads_aligning_to_SARS2,Sample type,Sampling date,Street No.,Vendor No.,PCR,CT,PCR target,NGS,classification
06-29-abv1,Env_0620,2020-01-23,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.079e+09,8.5185e+08,0,0,,,,,,,,,PCR- / sequencing-
1-27-11,Env_0642,2020-01-27,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),8.218e+08,5.7194e+08,0,0,,,,,,,,,PCR- / sequencing-
1-27-12,Env_0643,2020-01-27,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),2.0385e+09,2.0297e+09,0,0,,,,,,,,,PCR- / sequencing-
1-27-28,Env_0657,2020-01-27,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),2.9048e+08,2.8935e+08,0,0,,,,,,,,,PCR- / sequencing-
1-27-33,Env_0660,2020-01-27,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),9.2725e+07,9.2467e+07,0,0,Water drain,2020/1/27,6,29-33,+,36,ORF1ab,No,PCR+ / sequencing-
1-27-37,Env_0664,2020-01-27,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),3.1618e+07,0,0,,Water drain,2020/1/27,10,4,+,35,ORF1ab,No,PCR+ / sequencing-
1-27-52,Env_0674,2020-01-27,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),7.0119e+08,6.9828e+08,0,0,,,,,,,,,PCR- / sequencing-
1-29-19,Env_0697,2020-01-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM (Sewers or sewerage wells),1.0428e+09,1.0383e+09,0,0,,,,,,,,,PCR- / sequencing-
1-29-23,Env_0701,2020-01-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM,1.015e+09,1.0109e+09,0,0,,,,,,,,,PCR- / sequencing-
1-29-4,Env_0682,2020-01-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM (Sewers or sewerage wells),1.9902e+08,1.6424e+08,0,0,Water drain,2020/1/29,4,5-7-9,+,36,ORF1ab,No,PCR+ / sequencing-
1-29-8,Env_0686,2020-01-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM (Sewers or sewerage wells),3.5903e+08,3.5757e+08,0,0,Water drain,2020/1/29,5,11,+,37,ORF1ab,Yes,PCR+ / sequencing-
10-31-In2,Env_0617,2020-01-23,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,7.0413e+08,5.6714e+08,0,0,,,,,,,,,PCR- / sequencing-
10-31-abv2,Env_0619,2020-01-23,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.3608e+09,1.069e+09,0,0,,,,,,,,,PCR- / sequencing-
629-1-L1,Env_0875,2020-02-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.5241e+08,2.5222e+08,0,0,,,,,,,,,PCR- / sequencing-
629-11-L,Env_0885,2020-02-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.8398e+08,2.8371e+08,0,0,,,,,,,,,PCR- / sequencing-
629-13-L,Env_0887,2020-02-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.516e+08,1.5146e+08,0,0,,,,,,,,,PCR- / sequencing-
629-3-C,Env_0877,2020-02-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.5071e+08,2.5045e+08,0,0,,,,,,,,,PCR- / sequencing-
629-5-L4,Env_0879,2020-02-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.4276e+08,1.426e+08,0,0,,,,,,,,,PCR- / sequencing-
